#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-28T14:34:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
# https://vizier.u-strasbg.fr/viz-bin/VizieR-4
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ615326603ea099	
#INFO	-out.max=99999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=99999
#-order=I
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22/index&HTTPPRM:&&-ref=VIZ615326603ea099&-out.max=99999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=IV/22/index&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=FK5&-out=RAJ2000&-out=pmRA&-out=DEJ2000&-out=pmDE&-out=Vmag&-out=Sp&-out=DM&-out=SAO&-out=HD&-out=name&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=IV/22/index
#-source=IV/22/index
#-out=FK5
#-out=RAJ2000
#-out=pmRA
#-out=DEJ2000
#-out=pmDE
#-out=Vmag
#-out=Sp
#-out=DM
#-out=SAO
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmDE	(F7.2)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Sp	(A2)	Spectral type	[ucd=src.spType]
#Column	DM	(a10)	Durchmusterung Identification (1)	[ucd=meta.id]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|pmRA|DEJ2000|pmDE|Vmag|Sp|DM|SAO|HD|name
1045|01 36 47.842| -1.524|+41 24 19.64| -38.23| 4.09|G0|BD+40  332| 37362|  9826|
1046|01 37 05.924| -0.451|+12 08 29.73|   4.35| 5.57|F0|BD+11  205| 92536|  9919|
 916|01 37 27.990|  2.475|-84 46 10.58|   2.09| 5.69|K0|CP-85   17|258273| 11025|
  54|01 37 42.852|  1.173|-57 14 12.18|  -3.47| 0.46|B5|CP-57  334|232481| 10144|ACHERNAR
  52|01 37 59.561|  0.652|+48 37 41.55| -11.33| 3.57|K0|BD+47  467| 37375|  9927|
  51|01 38 30.901| -0.302|+73 02 24.10|  -1.48| 5.28|K0|BD+72   86|  4453|  9774|
  56|01 41 25.897| -0.143|+05 29 15.29|   0.16| 4.44|K0|BD+04  293|110065| 10380|
  58|01 42 02.988| -0.236|-36 49 56.59|  -2.09| 5.72|A0|CD-37  650|193261| 10538|
1047|01 42 03.491|  0.403|+35 14 44.37|  -2.81| 5.64|B8|BD+34  297| 54912| 10390|
1048|01 42 08.596| -0.516|-32 19 36.99|  -2.50| 5.26|K0|CD-32  666|193263| 10537|
  55|01 42 20.518|  0.927|+68 02 34.93|  -0.89| 5.59|A0|BD+67  149| 11919| 10221|
1049|01 42 43.518| -0.045|-03 41 24.71|  -3.18| 4.99|G5|SD-04  260|129465| 10550|
  57|01 43 39.639|  0.271|+50 41 19.48|  -1.40| 4.07|B0|BD+49  444| 22554| 10516|
  59|01 44 04.091|-11.911|-15 56 14.89|  85.64| 3.50|K0|BD-16  295|147986| 10700|
  60|01 45 23.629|  0.495|+09 09 27.79|   4.85| 4.26|K0|BD+08  273|110110| 10761|
  61|01 45 38.782|  1.195|-25 03 09.32|  -5.73| 5.31|F0|CD-25  704|167275| 10830|
1050|01 48 10.927|  0.371|+16 57 19.90|  -3.62| 5.86|A0|BD+16  203| 92637| 10982|
1051|01 49 35.106| -0.992|-10 41 11.09|  -9.29| 4.67|F0|BD-11  352|148036| 11171|
  62|01 51 27.640|  0.276|-10 20 06.20|  -3.90| 3.73|K0|BD-11  359|148059| 11353|BATEN KAITOS
1052|01 52 09.356|  0.184|+50 47 34.21|  -2.64| 5.79|B9|BD+50  379| 22696| 11291|
  64|01 53 04.905|  0.087|+29 34 43.82| -23.51| 3.41|F5|BD+28  312| 74996| 11443|
  65|01 53 33.346|  0.148|+03 11 14.98|   2.27| 4.62|K0|BD+02  290|110206| 11559|
  67|01 53 38.757| -0.830|-46 18 09.42|  -8.70| 4.41|M3|CD-46  552|215696| 11695|
1053|01 54 22.048| -0.256|-42 29 49.24|  -3.15| 5.11|B9|CD-43  583|215697| 11753|
  63|01 54 23.711|  0.476|+63 40 12.28|  -2.08| 3.38|B3|BD+62  320| 12031| 11415|
  66|01 54 38.401|  0.684|+20 48 28.82| -11.11| 2.64|A5|BD+20  306| 75012| 11636|SHERATAN
  69|01 54 56.116|  1.304|-67 38 50.16|   7.38| 4.69|K0|CP-68  101|248460| 11977|
  68|01 55 57.488|  7.309|-51 36 31.99|  29.22| 3.70|G5|CP-52  241|232573| 11937|
  72|01 58 46.201|  3.696|-61 34 11.43|   2.68| 2.86|F0|CP-62  162|248474| 12311|
  71|02 00 00.308|  0.967|-21 04 40.21|  -2.36| 4.00|M0|SD-21  358|167471| 12274|
1054|02 02 18.106|  0.396|+54 29 15.25|  -0.17| 5.04|B8|BD+53  439| 22859| 12303|
  70|02 03 26.088| -0.989|+72 25 16.69|   2.23| 3.98|A2|BD+71  117|  4560| 12216|
  73|02 03 53.963|  0.404|+42 19 46.99|  -5.17| 2.26|K0|BD+41  395| 37734| 12533|ALMACH
1055|02 04 29.440|  0.088|-29 17 48.58|   0.82| 4.69|A0|CD-29  706|167532| 12767|
  74|02 07 10.403|  1.383|+23 27 44.66| -14.83| 2.00|K2|BD+22  306| 75151| 12929|HAMAL
  75|02 09 32.625|  1.218|+34 59 14.24|  -4.03| 3.00|A5|BD+34  381| 55306| 13161|
1056|02 10 37.592|  0.623|+19 30 01.19|  -2.82| 5.70|M0|BD+18  277| 92822| 13325|
  78|02 12 54.480|  0.143|-30 43 25.80|   0.62| 5.28|A0|CD-31  882|193573| 13709|
1058|02 13 00.001| -0.149|+08 50 48.18|  -0.87| 4.37|G5|BD+08  345|110408| 13611|
1057|02 13 03.300|  0.668|+15 16 47.39|  -2.26| 5.71|K5|BD+14  357| 92841| 13596|
  77|02 13 36.341|  3.670|+51 03 57.04| -17.12| 5.31|K0|BD+50  481| 23047| 13530|
  76|02 14 29.067| -0.105|+66 31 28.02|  -0.56| 6.07|F5|BD+65  239| 12180| 13474|
1060|02 14 31.966| -0.115|-41 10 00.49|  -2.83| 5.91|K0|CD-41  621|215831| 13940|
1059|02 15 42.774| -0.651|+25 02 35.01|  -8.72| 5.58|F5|BD+24  329| 75238| 13872|
  82|02 16 30.603|  1.025|-51 30 44.04|  -2.68| 3.56|B8|CP-52  285|232696| 14228|
1635|02 16 45.608|  3.412|+83 33 41.12|  -4.22| 6.43|K0|BD+82   51|   359| 12918|
  80|02 16 59.045|  0.624|-06 25 19.71| -10.75| 5.51|G5|SD-07  393|129798| 14129|
  79|02 17 18.870|  0.376|+33 50 50.00|  -5.12| 4.01|A0|BD+33  397| 55427| 14055|
1062|02 17 19.888|  1.400|-35 58 58.61|   4.51| 6.70|G5|CD-36  859|193622| 14247|
1061|02 18 01.435|  2.452|+01 45 28.00|  36.90| 5.58|F8|BD+01  410|110456| 14214|
  81|02 18 07.535| -0.090|+19 54 04.07|  -0.21| 5.62|A0|BD+19  340| 92877| 14191|
1657|02 18 34.187| -3.066|-88 08 44.88|  -2.19| 8.28|G5|CP-88   27|      |      |
1063|02 19 16.792| -0.581|+47 22 47.88|  -0.79| 5.30|A0|BD+46  552| 37948| 14212|
1656|02 21 40.603|  0.131|-85 43 04.87|  -2.44| 7.86|F0|CP-86   28|258302| 16701|
1065|02 21 44.949| -0.918|-68 39 33.85|   0.19| 4.09|A2|CP-69  113|248545| 15008|
1064|02 22 04.986|  0.077|-17 39 44.00|  -5.98| 5.87|K0|BD-18  409|148356| 14728|
  83|02 22 32.567|  1.459|-23 48 59.32|  -6.23| 5.20|F5|CD-24 1038|167736| 14802|
1067|02 22 52.280| -1.956|-73 38 44.92|   1.00| 6.01|K0|CP-74  194|255880| 15248|
  84|02 24 53.928| -0.917|-60 18 43.01| -13.28| 5.35|F2|CP-60  199|248555| 15233|
1066|02 25 57.005| -0.071|-12 17 25.72|  -0.91| 4.89|A0|BD-12  451|148385| 15130|
  86|02 26 59.137|  0.231|-47 42 14.02|  -0.96| 4.25|B5|CD-48  637|215906| 15371|
  85|02 28 09.541|  0.272|+08 27 36.19|  -0.87| 4.28|A0|BD+07  388|110543| 15318|
1068|02 28 09.978| -0.115|+29 40 09.58|  -8.68| 5.30|F0|BD+29  417| 75382| 15257|
1069|02 30 54.390|  0.218|+17 42 13.80|  -8.43| 6.23|G5|BD+17  380| 92983| 15596|
  90|02 31 40.469|  4.267|-79 06 33.78|  -5.61| 5.28|K0|CP-79   66|255898| 16522|
 907|02 31 48.704| 19.877|+89 15 50.72|  -1.52| 2.02|F8|BD+88    8|   308|  8890|POLARIS
1071|02 32 05.239| -0.485|-15 14 40.62| -11.98| 4.75|F5|BD-15  449|148445| 15798|
1070|02 32 06.167|  0.381|+36 08 50.20|   1.24| 5.15|K0|BD+35  497| 55635| 15656|
  88|02 33 07.032| -0.121|-34 39 00.01|  -1.98| 5.90|K0|CD-35  877|193763| 15975|
1072|02 35 52.469| -0.177|+05 35 35.60|  -2.47| 4.86|G5|BD+04  418|110635| 16161|
1074|02 36 00.048| -0.223|-07 49 53.84|  -5.95| 5.53|K5|SD-08  489|130004| 16212|
1073|02 36 04.888| 12.159|+06 53 12.89| 145.06| 5.82|K0|BD+06  398|110636| 16160|268 G CET
  87|02 38 02.006| -0.683|+72 49 05.84|   1.65| 5.16|K0|BD+72  140|  4694| 15920|
  89|02 38 48.986| -0.055|+21 57 40.99|  -1.72| 5.43|A2|BD+21  362| 75495| 16432|
  91|02 39 28.953|  0.094|+00 19 42.58|  -0.40| 4.07|B2|BD-00  406|110665| 16582|
  95|02 39 35.361|  1.551|-68 16 00.99|  -0.19| 4.11|B9|CP-68  161|248621| 16978|
1076|02 40 39.619|  0.410|-54 32 59.88|  -0.14| 5.21|F2|CP-55  446|232857| 16920|
1075|02 40 40.038|  1.197|-39 51 19.54|  -3.16| 4.11|K0|CD-40  689|215999| 16815|
  94|02 43 27.112|  0.058|+27 42 25.68|  -1.17| 4.66|B3|BD+27  424| 75532| 16908|
1077|02 44 05.157|  0.034|+44 17 49.32|  -0.74| 5.43|G5|BD+43  566| 38289| 16901|
  97|02 44 07.351| -0.052|-13 51 31.37|  -1.54| 4.25|B5|BD-14  519|148575| 17081|
  93|02 44 11.986|  3.425|+49 13 42.48|  -8.95| 4.12|F8|BD+48  746| 38288| 16895|
1078|02 44 14.627|  1.203|-25 29 43.52|   4.57| 6.98|G0|CD-26  996|168012| 17134|
  92|02 44 49.678|  0.271|+67 49 28.68|  -3.26| 5.95|A2|BD+67  224| 12421| 16769|
  98|02 44 56.537|  1.924|+10 06 50.76|  -3.59| 4.27|F0|BD+09  359|110723| 17094|
 101|02 49 05.429|  0.713|-32 24 21.40|  15.53| 4.46|K0|CD-32 1025|193931| 17652|
 100|02 49 59.029|  0.500|+27 15 37.81| -11.75| 3.63|B8|BD+26  471| 75596| 17573|
  99|02 50 41.811|  0.203|+55 53 43.80|  -1.42| 3.76|K0|BD+55  714| 23655| 17506|
 102|02 51 02.324| -0.330|-21 00 14.51|  -1.95| 4.75|K0|SD-21  509|168094| 17824|
1079|02 51 29.589|  0.211|+15 04 55.36|  -2.59| 5.49|B5|BD+14  480| 93144| 17769|
 103|02 54 15.457| -0.004|+52 45 44.95|  -0.54| 3.95|G0|BD+52  641| 23685| 17878|
 104|02 56 25.651|  0.536|-08 53 53.40| -21.95| 3.89|K0|SD-09  553|130197| 18322|AZHA
1080|02 56 37.425| -0.235|-03 42 44.35|  -4.40| 5.17|A2|SD-04  502|130199| 18331|
1081|02 58 05.215|  1.660|+20 40 07.49|  -3.06| 5.80|F0|BD+20  480| 75662| 18404|
 106|02 58 15.696| -0.391|-40 18 16.97|   1.94| 3.25|A2|CD-40  771|216113| 18622|ACAMAR
1082|02 59 03.676| -0.377|+35 10 59.24|   0.59| 4.93|K0|BD+34  550| 56052| 18449|
1083|02 59 42.899|  0.029|+08 54 26.51|  -1.39| 4.70|B5|BD+08  455|110889| 18604|
1084|03 02 02.510| -0.262|-18 12 28.10|  -3.76| 7.53|F0|BD-18  516|148724| 18921|
 113|03 02 15.431|  0.543|-71 54 08.86|   1.42| 5.53|B8|CP-72  219|255945| 19400|
 107|03 02 16.773| -0.063|+04 05 22.93|  -7.80| 2.53|M0|BD+03  419|110920| 18884|MENKAR
1085|03 02 23.507| -1.053|-23 37 27.99|  -5.37| 4.09|A3|CD-24 1387|168249| 18978|
1086|03 02 55.878|  0.281|-46 58 30.05|   0.32| 5.82|K0|CD-47  932|216150| 19141|
 110|03 03 36.814| -0.967|-59 44 16.00|  -6.66| 5.11|F0|CP-60  236|232981| 19319|
 108|03 04 47.791| -0.001|+53 30 23.29|  -0.47| 2.93|F5|BD+52  654| 23789| 18925|
 109|03 05 10.593|  1.110|+38 50 25.01| -10.56| 3.30|M3|BD+38  630| 56138| 19058|
 105|03 06 07.764| -1.426|+79 25 06.67|   0.89| 5.49|M0|BD+78  103|  4810| 18438|
1087|03 07 18.582| -0.046|-13 45 42.54| -26.25| 7.00|G0|BD-14  604|148780| 19467|
 111|03 08 10.131|  0.031|+40 57 20.43|  -0.09| 2.10|B8|BD+40  673| 38592| 19356|ALGOL
 112|03 09 04.016| 12.994|+49 36 47.89|  -9.08| 4.05|G0|BD+49  857| 38597| 19373|
